symbol,date,close,volume,ret_1,vol_ratio,ret_1_lag1,ret_1_lag2,ret_1_lag3,vol_ratio_lag1,vol_ratio_lag2,vol_ratio_lag3,is_price_lt_500,top_buyer,top_buyer_concentration,top_buyer_net_value,total_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio
DOID,2025-09-02,,,,,,,,,,,0,,,,,,,,
DOOH,2025-09-02,,,,,,,,,,,0,,,,,,,,
DOSS,2025-09-02,,,,,,,,,,,0,,,,,,,,
DPNS,2025-09-02,,,,,,,,,,,0,,,,,,,,
DPUM,2025-09-02,,,,,,,,,,,0,,,,,,,,
DRMA,2025-09-02,,,,,,,,,,,0,,,,,,,,
DSFI,2025-09-02,,,,,,,,,,,0,,,,,,,,
DSNG,2025-09-02,,,,,,,,,,,0,,,,,,,,
DSSA,2025-09-02,,,,,,,,,,,0,,,,,,,,
DUCK,2025-09-02,,,,,,,,,,,0,,,,,,,,
DUTI,2025-09-02,,,,,,,,,,,0,,,,,,,,
DVLA,2025-09-02,,,,,,,,,,,0,,,,,,,,
DWGL,2025-09-02,,,,,,,,,,,0,,,,,,,,
DYAN,2025-09-02,,,,,,,,,,,0,,,,,,,,
EAST,2025-09-02,,,,,,,,,,,0,,,,,,,,
ECII,2025-09-02,,,,,,,,,,,0,,,,,,,,
EDGE,2025-09-02,,,,,,,,,,,0,,,,,,,,
EKAD,2025-09-02,,,,,,,,,,,0,,,,,,,,
ELIT,2025-09-02,,,,,,,,,,,0,,,,,,,,
ELPI,2025-09-02,,,,,,,,,,,0,,,,,,,,
ELSA,2025-09-02,,,,,,,,,,,0,,,,,,,,
ELTY,2025-09-02,,,,,,,,,,,0,,,,,,,,
EMDE,2025-09-02,,,,,,,,,,,0,,,,,,,,
EMTK,2025-09-02,,,,,,,,,,,0,,,,,,,,
ENAK,2025-09-02,,,,,,,,,,,0,,,,,,,,
ENRG,2025-09-02,,,,,,,,,,,0,,,,,,,,
ENVY,2025-09-02,,,,,,,,,,,0,,,,,,,,
ENZO,2025-09-02,,,,,,,,,,,0,,,,,,,,
EPAC,2025-09-02,,,,,,,,,,,0,,,,,,,,
EPMT,2025-09-02,,,,,,,,,,,0,,,,,,,,
ERAA,2025-09-02,,,,,,,,,,,0,,,,,,,,
ERAL,2025-09-02,,,,,,,,,,,0,,,,,,,,
ERTX,2025-09-02,,,,,,,,,,,0,,,,,,,,
ESIP,2025-09-02,,,,,,,,,,,0,,,,,,,,
ESSA,2025-09-02,,,,,,,,,,,0,,,,,,,,
ESTA,2025-09-02,,,,,,,,,,,0,,,,,,,,
ESTI,2025-09-02,,,,,,,,,,,0,,,,,,,,
ETWA,2025-09-02,,,,,,,,,,,0,,,,,,,,
EURO,2025-09-02,,,,,,,,,,,0,,,,,,,,
EXCL,2025-09-02,,,,,,,,,,,0,,,,,,,,
FAPA,2025-09-02,,,,,,,,,,,0,,,,,,,,
FAST,2025-09-02,,,,,,,,,,,0,,,,,,,,
