symbol,date,close,volume,ret_1,vol_ratio,ret_1_lag1,ret_1_lag2,ret_1_lag3,vol_ratio_lag1,vol_ratio_lag2,vol_ratio_lag3,is_price_lt_500,top_buyer,top_buyer_concentration,top_buyer_net_value,total_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio,price_source_date,broker_source_date,age_price_days,age_broker_days,is_market_closed
PTSP,2025-09-04,945.0,1834800.0,-0.07804878048780484,1.9721610146718977,,,,1.0,,,0,XL,0.4402067350624439,253134500.0,-8426500.0,10.0,9.0,19.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PUDP,2025-09-04,224.0,29400.0,-0.02608695652173909,1.005128205128205,,,,1.0,,,1,XL,0.5072244682721041,2885600.0,0.0,4.0,3.0,7.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PURA,2025-09-04,30.0,11543100.0,0.0714285714285714,0.8365626075770478,,,,1.0,,,1,BR,0.3289002328497223,88140000.0,3447000.0,8.0,10.0,18.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PURE,2025-09-04,,,,,,,,,,,0,,,,,,,,,2025-09-04,,0,,0
PURI,2025-09-04,185.0,293100.0,-0.021164021164021163,1.0391774508065945,,,,1.0,,,1,XL,0.6706700038186316,32316100.0,0.0,8.0,8.0,16.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PWON,2025-09-04,372.0,48800800.0,0.00540540540540535,1.0719360539122278,,,,1.0,,,1,CC,0.6758752570990335,7251096200.0,801657600.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PYFA,2025-09-04,570.0,130840300.0,-0.109375,1.840071386280502,,,,1.0,,,0,XL,0.4341866452469995,10746050000.0,-2050762000.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PZZA,2025-09-04,214.0,5983300.0,0.01904761904761898,1.3704149059218287,,,,1.0,,,1,YP,0.1973999108989038,133902400.0,-51023600.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
RAAM,2025-09-04,284.0,16279300.0,-0.020689655172413834,0.8680510935087995,,,,1.0,,,1,NI,0.2570436475088284,142840800.0,-1469800.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
RAFI,2025-09-04,,,,,,,,,,,0,,,,,,,,,2025-09-04,,0,,0
RAJA,2025-09-04,2710.0,84956500.0,0.0037037037037037646,1.6053699721467416,,,,1.0,,,0,ES,0.6891018821823649,51329821000.0,14248436000.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
RALS,2025-09-04,394.0,2023100.0,0.01025641025641022,0.7495322601559751,,,,1.0,,,1,SQ,0.4697183158749674,285929000.0,8322600.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
RANC,2025-09-04,418.0,2200.0,0.019512195121951237,0.22448979591836735,,,,1.0,,,1,SQ,0.591552362290442,543400.0,0.0,4.0,4.0,8.0,0.0,2025-09-04,2025-09-04,0,0.0,0
RATU,2025-09-04,,,,,,,,,,,0,,,,,,,,,2025-09-04,,0,,0
RBMS,2025-09-04,34.0,1264300.0,0.0,0.9132476162958683,,,,1.0,,,1,DR,0.456037942356804,17000000.0,-3400.0,10.0,5.0,15.0,0.0,2025-09-04,2025-09-04,0,0.0,0
RCCC,2025-09-04,181.0,595500.0,-0.021621621621621623,0.7898925586947871,,,,1.0,,,1,XA,0.2946876121843879,8865500.0,-127400.0,10.0,6.0,16.0,0.0,2025-09-04,2025-09-04,0,0.0,0
RDTX,2025-09-04,12075.0,800.0,0.004158004158004047,1.2307692307692308,,,,1.0,,,0,XC,0.8318980365139511,6037500.0,0.0,2.0,3.0,5.0,0.0,2025-09-04,2025-09-04,0,0.0,0
REAL,2025-09-04,50.0,45959600.0,0.08695652173913038,1.448817309041159,,,,1.0,,,1,XL,0.367746623600703,344640000.0,46011100.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
RELF,2025-09-04,56.0,11324400.0,0.0980392156862746,0.2796814549639606,,,,1.0,,,1,AO,0.6513421465766469,364440000.0,5812800.0,4.0,10.0,14.0,0.0,2025-09-04,2025-09-04,0,0.0,0
RELI,2025-09-04,650.0,31900.0,-0.007633587786259555,0.47861965491372843,,,,1.0,,,0,XC,0.4879974731522425,6180000.0,0.0,3.0,4.0,7.0,0.0,2025-09-04,2025-09-04,0,0.0,0
RGAS,2025-09-04,112.0,50979900.0,-0.05084745762711862,1.2568853934246373,,,,1.0,,,1,GR,0.2486938770011533,596271200.0,-195065100.0,10.0,9.0,19.0,0.0,2025-09-04,2025-09-04,0,0.0,0
