symbol,date,close,volume,source_date
KETR,2025-09-05,660.0,46213100.0,2025-09-04
KIAS,2025-09-05,,,2025-09-05
KICI,2025-09-05,140.0,1415400.0,2025-09-04
KIJA,2025-09-05,202.0,268913200.0,2025-09-04
KING,2025-09-05,204.0,3460700.0,2025-09-04
KINO,2025-09-05,1260.0,130800.0,2025-09-04
KIOS,2025-09-05,84.0,202814600.0,2025-09-04
KJEN,2025-09-05,131.0,851900.0,2025-09-04
KKES,2025-09-05,39.0,2286800.0,2025-09-04
KKGI,2025-09-05,332.0,3123800.0,2025-09-04
KLAS,2025-09-05,134.0,2307400.0,2025-09-04
KLBF,2025-09-05,1180.0,93346300.0,2025-09-04
KLIN,2025-09-05,190.0,231000.0,2025-09-04
KMDS,2025-09-05,635.0,352600.0,2025-09-04
KMTR,2025-09-05,308.0,1204900.0,2025-09-04
KOBX,2025-09-05,141.0,385700.0,2025-09-04
KOCI,2025-09-05,65.0,41006700.0,2025-09-04
KOIN,2025-09-05,72.0,3300.0,2025-09-04
KOKA,2025-09-05,96.0,6422200.0,2025-09-04
KONI,2025-09-05,1925.0,63100.0,2025-09-04
KOPI,2025-09-05,340.0,61500.0,2025-09-04
KOTA,2025-09-05,30.0,20911800.0,2025-09-04
KPIG,2025-09-05,200.0,330779300.0,2025-09-04
KRAS,2025-09-05,304.0,14728800.0,2025-09-04
KREN,2025-09-05,17.0,170899400.0,2025-09-04
KRYA,2025-09-05,206.0,8112100.0,2025-09-04
KSIX,2025-09-05,,,2025-09-05
