symbol,date,close,volume
SMAR,2025-09-02,,
SMBR,2025-09-02,,
SMCB,2025-09-02,,
SMDM,2025-09-02,,
SMDR,2025-09-02,,
SMGA,2025-09-02,,
SMGR,2025-09-02,,
SMIL,2025-09-02,,
SMKL,2025-09-02,,
SMKM,2025-09-02,,
SMLE,2025-09-02,,
SMMA,2025-09-02,,
SMMT,2025-09-02,,
SMRA,2025-09-02,,
SMRU,2025-09-02,,
SMSM,2025-09-02,,
SNLK,2025-09-02,,
SOCI,2025-09-02,,
SOFA,2025-09-02,,
SOHO,2025-09-02,,
SOLA,2025-09-02,,
SONA,2025-09-02,,
SOSS,2025-09-02,,
SOTS,2025-09-02,,
SOUL,2025-09-02,,
SPMA,2025-09-02,,
SPRE,2025-09-02,,
SPTO,2025-09-02,,
SQMI,2025-09-02,,
SRAJ,2025-09-02,,
SRIL,2025-09-02,,
SRSN,2025-09-02,,
SRTG,2025-09-02,,
SSIA,2025-09-02,,
SSMS,2025-09-02,,
SSTM,2025-09-02,,
STAA,2025-09-02,,
STAR,2025-09-02,,
STRK,2025-09-02,,
STTP,2025-09-02,,
SUGI,2025-09-02,,
SULI,2025-09-02,,
SUNI,2025-09-02,,
SUPR,2025-09-02,,
SURE,2025-09-02,,
SURI,2025-09-02,,
SWAT,2025-09-02,,
SWID,2025-09-02,,
TALF,2025-09-02,,
TAMA,2025-09-02,,
TAMU,2025-09-02,,
TAPG,2025-09-02,,
TARA,2025-09-02,,
TAXI,2025-09-02,,
TAYS,2025-09-02,,
TBIG,2025-09-02,,
TBLA,2025-09-02,,
TBMS,2025-09-02,,
TCID,2025-09-02,,
TCPI,2025-09-02,,
TDPM,2025-09-02,,
TEBE,2025-09-02,,
TECH,2025-09-02,,
TELE,2025-09-02,,
TFAS,2025-09-02,,
TFCO,2025-09-02,,
TGKA,2025-09-02,,
TGRA,2025-09-02,,
TGUK,2025-09-02,,
TIFA,2025-09-02,,
TINS,2025-09-02,,
TIRA,2025-09-02,,
